Taille	TempsQuickSort	TempsMonTriHeap	TempsFusionTri
634	0.000225	0.000155	0.000142
635	0.000211	0.000156	0.000148
636	0.000213	0.000157	0.000150
637	0.000226	0.000160	0.000171
638	0.000212	0.000160	0.000143
639	0.000216	0.000158	0.000150
640	0.000213	0.000188	0.000151
641	0.000213	0.000157	0.000148
642	0.000218	0.000162	0.000147
643	0.000223	0.000158	0.000155
644	0.000219	0.000161	0.000152
645	0.000210	0.000160	0.000146
646	0.000217	0.000161	0.000153
647	0.000292	0.000160	0.000153
648	0.000229	0.000163	0.000148
649	0.000219	0.000163	0.000146
650	0.000216	0.000164	0.000158
651	0.000286	0.000214	0.000244
652	0.000312	0.000211	0.000173
653	0.000235	0.000179	0.000167
654	0.000240	0.000221	0.000164
655	0.000230	0.000164	0.000161
656	0.000224	0.000161	0.000154
657	0.000220	0.000165	0.000171
658	0.000219	0.000164	0.000160
659	0.000221	0.000169	0.000170
660	0.000222	0.000165	0.000152
661	0.000222	0.000162	0.000160
662	0.000248	0.000179	0.000250
663	0.000316	0.000214	0.000219
664	0.000294	0.000167	0.000159
665	0.000228	0.000171	0.000200
666	0.000234	0.000164	0.000167
667	0.000226	0.000165	0.000152
668	0.000233	0.000166	0.000161
669	0.000266	0.000186	0.000178
670	0.000315	0.000227	0.000200
671	0.000259	0.000169	0.000194
672	0.000240	0.000167	0.000163
673	0.000234	0.000168	0.000162
674	0.000236	0.000170	0.000156
675	0.000247	0.000170	0.000165
676	0.000240	0.000172	0.000164
677	0.000237	0.000170	0.000158
678	0.000277	0.000170	0.000159
679	0.000301	0.000194	0.000168
680	0.000236	0.000168	0.000167
681	0.000243	0.000172	0.000158
682	0.000233	0.000172	0.000181
683	0.000242	0.000171	0.000167
684	0.000319	0.000180	0.000158
685	0.000239	0.000172	0.000158
686	0.000242	0.000173	0.000168
687	0.000240	0.000176	0.000166
688	0.000237	0.000172	0.000170
689	0.000247	0.000173	0.000167
690	0.000278	0.000196	0.000174
691	0.000244	0.000170	0.000159
692	0.000254	0.000174	0.000163
693	0.000243	0.000173	0.000168
694	0.000256	0.000172	0.000171
695	0.000248	0.000174	0.000161
696	0.000251	0.000175	0.000195
697	0.000258	0.000172	0.000171
698	0.000250	0.000177	0.000160
699	0.000263	0.000174	0.000164
700	0.000245	0.000177	0.000171
701	0.000252	0.000177	0.000169
702	0.000251	0.000175	0.000164
703	0.000263	0.000177	0.000171
704	0.000246	0.000175	0.000171
705	0.000256	0.000175	0.000165
706	0.000270	0.000177	0.000164
707	0.000280	0.000179	0.000172
708	0.000259	0.000178	0.000163
709	0.000281	0.000181	0.000165
710	0.000253	0.000178	0.000175
711	0.000253	0.000182	0.000172
712	0.000260	0.000179	0.000164
713	0.000261	0.000179	0.000180
714	0.000262	0.000181	0.000174
715	0.000283	0.000179	0.000167
716	0.000268	0.000207	0.000164
717	0.000259	0.000182	0.000173
718	0.000258	0.000179	0.000173
719	0.000263	0.000182	0.000165
720	0.000265	0.000181	0.000178
721	0.000274	0.000179	0.000181
722	0.000252	0.000181	0.000167
723	0.000279	0.000181	0.000190
724	0.000269	0.000180	0.000177
725	0.000274	0.000193	0.000168
726	0.000261	0.000183	0.000195
727	0.000276	0.000183	0.000178
728	0.000272	0.000184	0.000168
729	0.000279	0.000182	0.000168
730	0.000271	0.000182	0.000177
731	0.000273	0.000183	0.000177
732	0.000278	0.000200	0.000180
733	0.000270	0.000183	0.000178
734	0.000263	0.000186	0.000180
735	0.000273	0.000184	0.000169
736	0.000271	0.000189	0.000184
737	0.000280	0.000200	0.000176
738	0.000274	0.000212	0.000170
739	0.000281	0.000186	0.000197
740	0.000356	0.000182	0.000182
741	0.000307	0.000188	0.000172
742	0.000286	0.000188	0.000169
743	0.000283	0.000188	0.000197
744	0.000285	0.000188	0.000178
745	0.000273	0.000187	0.000172
746	0.000279	0.000188	0.000178
747	0.000279	0.000189	0.000177
748	0.000278	0.000188	0.000172
749	0.000286	0.000214	0.000186
750	0.000293	0.000191	0.000179
751	0.000285	0.000191	0.000174
752	0.000293	0.000188	0.000185
753	0.000287	0.000189	0.000179
754	0.000294	0.000192	0.000180
755	0.000358	0.000191	0.000173
756	0.000290	0.000196	0.000197
757	0.000286	0.000191	0.000179
758	0.000292	0.000192	0.000172
759	0.000292	0.000191	0.000182
760	0.000283	0.000194	0.000213
761	0.000298	0.000194	0.000174
762	0.000300	0.000192	0.000180
763	0.000297	0.000245	0.000183
764	0.000296	0.000195	0.000177
765	0.000286	0.000195	0.000184
766	0.000324	0.000193	0.000187
767	0.000283	0.000195	0.000177
768	0.000291	0.000195	0.000181
769	0.000295	0.000196	0.000184
770	0.000296	0.000194	0.000173
771	0.000300	0.000223	0.000191
772	0.000295	0.000197	0.000192
773	0.000301	0.000219	0.000176
774	0.000304	0.000197	0.000187
775	0.000301	0.000196	0.000187
776	0.000300	0.000198	0.000176
777	0.000336	0.000197	0.000198
778	0.000309	0.000197	0.000186
779	0.000308	0.000195	0.000178
780	0.000308	0.000195	0.000192
781	0.000301	0.000199	0.000190
782	0.000323	0.000199	0.000180
783	0.000326	0.000201	0.000192
784	0.000312	0.000199	0.000189
785	0.000315	0.000201	0.000181
786	0.000318	0.000201	0.000198
787	0.000304	0.000270	0.000190
788	0.000327	0.000200	0.000179
789	0.000309	0.000200	0.000189
790	0.000312	0.000199	0.000192
791	0.000310	0.000203	0.000183
792	0.000305	0.000201	0.000230
793	0.000313	0.000200	0.000192
794	0.000318	0.000203	0.000183
795	0.000313	0.000203	0.000192
796	0.000341	0.000235	0.000200
797	0.000312	0.000205	0.000217
798	0.000328	0.000207	0.000192
799	0.000336	0.000206	0.000193
